day,cx
2020-08-15,52.09117
2020-08-16,36.497902
2020-08-17,34.41775
2020-08-18,36.424213
2020-08-19,36.83701
2020-08-20,38.10322
2020-08-21,37.976704
2020-08-22,56.915623
2020-08-23,41.917297
2020-08-24,37.01234
2020-08-25,36.498756
2020-08-26,38.74706
2020-08-27,36.76669
2020-08-28,40.495625
2020-08-29,67.22113
2020-08-30,41.030075
2020-08-31,38.27816
2020-09-01,39.147236
2020-09-02,52.2171
2020-09-03,40.35528
2020-09-04,52.957645
2020-09-05,85.16339
2020-09-06,78.474434
2020-09-07,41.637486
2020-09-08,43.539886
2020-09-09,44.17968
2020-09-10,44.71303
2020-09-11,46.289856
2020-09-12,81.388985
2020-09-13,51.116795
2020-09-14,67.42455
2020-09-15,42.131683
2020-09-16,38.973938
2020-09-17,39.16615
2020-09-18,47.03455
2020-09-19,65.71501
2020-09-20,45.302105
2020-09-21,36.68872
2020-09-22,36.77547
2020-09-23,40.874874
2020-09-24,40.630283
2020-09-25,44.23999
2020-09-26,68.23648
2020-09-27,55.495377
2020-09-28,38.537544
2020-09-29,37.880596
2020-09-30,36.31246
2020-10-01,38.488453
2020-10-02,47.88848
2020-10-03,100.17761
2020-10-04,64.16198
2020-10-05,38.675518
2020-10-06,43.974445
2020-10-07,38.492657
2020-10-08,44.953606
2020-10-09,42.685318
2020-10-10,72.88455
2020-10-11,51.151432
2020-10-12,36.007362
2020-10-13,34.21358
2020-10-14,32.29303
2020-10-15,33.082184
2020-10-16,36.826454
2020-10-17,48.408413
2020-10-18,41.75408
2020-10-19,38.592667
2020-10-20,31.92372
2020-10-21,31.816368
2020-10-22,33.936245
2020-10-23,30.464048
2020-10-24,38.001198
2020-10-25,34.512363
2020-10-26,30.874094
2020-10-27,29.745256
2020-10-28,32.600536
2020-10-29,34.232876
2020-10-30,34.98757
2020-10-31,34.490376
2020-11-01,30.087656
2020-11-02,28.908705
2020-11-03,28.981268
2020-11-04,29.076254
2020-11-05,29.073626
2020-11-06,29.169638
2020-11-07,34.818718
2020-11-08,22.144463
2020-11-09,30.28178
2020-11-10,29.300344
2020-11-11,31.977367
2020-11-12,32.20103
2020-11-13,28.894117
2020-11-14,30.871836
2020-11-15,23.573328
2020-11-16,31.635017
2020-11-17,31.915335
2020-11-18,30.869793
2020-11-19,30.327896
2020-11-20,30.38895
2020-11-21,33.399563
2020-11-22,23.611355
2020-11-23,30.005762
2020-11-24,34.83997
2020-11-25,33.01905
2020-11-26,34.045063
2020-11-27,34.932026
2020-11-28,37.17752
2020-11-29,23.811392
2020-11-30,31.62511
2020-12-01,30.840904
2020-12-02,32.75768
2020-12-03,33.608154
2020-12-04,32.783108
2020-12-05,37.25285
2020-12-06,24.752163
2020-12-07,31.664795
2020-12-08,30.727524
2020-12-09,29.994204
2020-12-10,30.973555
2020-12-11,32.01206
2020-12-12,36.77775
2020-12-13,23.59794
2020-12-14,32.004356
2020-12-15,29.91233
2020-12-16,26.454573
2020-12-17,27.144238
2020-12-18,26.529951
2020-12-19,26.436312
2020-12-20,24.273102
2020-12-21,27.464773
2020-12-22,27.142876
2020-12-23,28.430342
2020-12-24,26.435276
2020-12-25,26.451643
2020-12-26,26.861713
2020-12-27,25.121014
2020-12-28,27.111307
2020-12-29,25.884539
2020-12-30,29.713797
2020-12-31,27.643854
2021-01-01,24.643845
2021-01-02,24.680796
2021-01-03,23.824898
2021-01-04,28.204334
2021-01-05,26.128561
2021-01-06,24.774366
2021-01-07,25.837622
2021-01-08,26.652985
2021-01-09,24.58946
2021-01-10,21.623367
2021-01-11,26.778048
2021-01-12,25.414759
2021-01-13,25.905867
2021-01-14,26.444326
2021-01-15,26.671553
2021-01-16,26.343927
2021-01-17,23.938278
2021-01-18,27.886242
2021-01-19,26.227932
2021-01-20,25.59621
2021-01-21,26.715431
2021-01-22,26.289425
2021-01-23,25.898153
2021-01-24,23.012499
2021-01-25,26.297493
